FIELD_TYPE_ID,FIELD_TYPE_DESC,USED_FLAG,del_ind,FIELD_NAME
JMSG023,Error,0,0,messages_id
SESSION_TIMEOUT,Session Timeout,0,0,sys_attr_type
Buyer,Buyer,0,0,user_type
MSG139,Error,0,0,messages_id
MSG145,Error,0,0,messages_id
MSG160,Error,0,0,messages_id
MSG077,Information,0,0,messages_id
MSG162,Error,0,0,messages_id
DOC07,Test,0,0,document_type
MSG182,Error,0,0,messages_id
JMSG005,Error,0,0,messages_id
MSG146,Error,0,0,messages_id
MSG063,Error,0,0,messages_id
EXW,Ex Works,0,0,incoterm
MSG133,Error,0,0,messages_id
AUTH_0002,Shopping,0,0,auth_obj_id
US_SUBS,User Substitutes,1,0,attribute_id
PROD_CAT,Product Categories,1,0,attribute_id
MSG147,Error,0,0,messages_id
PORG,Purchasing Organization,1,0,org_node_types
MSG073,Error,0,0,messages_id
JMSG043,Error,0,0,messages_id
L_CURR,Local Currency,1,0,attribute_id
MSG092,Error,0,0,messages_id
MSG026,Error,0,0,messages_id
CT_CTR,Cost Center,1,0,attribute_id
MSG102,Error,0,0,messages_id
MSG_DISPLAY,Message Display Time,0,0,sys_attr_type
MSG144,Error,0,0,messages_id
AUTH_0014,Limit Order,0,0,auth_obj_id
MSG056,Error,0,0,messages_id
MSG005,Error,0,0,messages_id
MSG028,Error,0,0,messages_id
MSG016,Success,0,0,messages_id
MSG163,Error,0,0,messages_id
MSG083,Error,0,0,messages_id
AUTH_0038,Work Flow Items,0,0,auth_obj_id
MSG035,Success,0,0,messages_id
ATTACHMENT_SIZE,Attachment Size,0,0,sys_attr_type
JMSG108,Error,0,0,messages_id
FEATURE,Feature,1,0,auth_level
MSG095,Error,0,0,messages_id
MSG067,Error,0,0,messages_id
MSG037,Error,0,0,messages_id
MSG159,Error,0,0,messages_id
MSG003,Success,0,0,messages_id
MSG150,Error,0,0,messages_id
MSG188,Error,0,0,messages_id
MSG114,Error,0,0,messages_id
MSG125,Success,0,0,messages_id
MSG010,Error,0,0,messages_id
MSG154,Error,0,0,messages_id
WBS_ELEM,Wbs Element,1,0,attribute_id
PWD_POLICY,Password Policy,0,0,sys_attr_type
All,All,0,0,user_type
AS_SET,Asset,1,0,attribute_id
MSG025,Error,0,0,messages_id
MSG098,Error,0,0,messages_id
Demo_Acc,Project,0,0,acct_assignment_category
MSG024,Error,0,0,messages_id
MSG142,Information,0,0,messages_id
MSG068,Error,0,0,messages_id
D,Demo,0,0,address_type
JMSG032,Error,0,0,messages_id
MSG108,Error,0,0,messages_id
MSG081,Error,0,0,messages_id
MSG029,Error,0,0,messages_id
INT_ORD,Internal Order,1,0,attribute_id
MSG137,Error,0,0,messages_id
MSG167,Error,0,0,messages_id
GLACC,General Ledger Account,1,0,acct_assignment_category
JMSG015,Error,0,0,messages_id
MSG124,Error,0,0,messages_id
MSG190,Error,0,0,messages_id
MSG143,Error,0,0,messages_id
FC_TRANS_TYPE,Favorite Transaction Type,1,0,attribute_id
MSG151,Error,0,0,messages_id
AUTH_0039,Employee Management,0,0,auth_obj_id
JMSG042,Success,0,0,messages_id
Active,Status Active,0,0,status
ERROR,Error Message,0,0,messages_type
AUTH_GROUP_41,Shopping Plus,0,0,auth_obj_grp
FIELD,Field,0,0,auth_level
MSG049,Error,0,0,messages_id
MSG181,Error,0,0,messages_id
MSG175,Error,0,0,messages_id
FCA,Free Carrier,0,0,incoterm
MSG113,Success,0,0,messages_id
JMSG110,Error,0,0,messages_id
MSG050,Error,0,0,messages_id
WARNING,Warning Message,0,0,messages_type
Inactive,Status Inactive,0,0,status
6,Limit Order,1,0,split_type
MSG078,Information,0,0,messages_id
PLANT,Plant,1,0,org_node_types
MSG019,Error,0,0,messages_id
JMSG030,Error,0,0,messages_id
JMSG019,Success,0,0,messages_id
AUTH_0006,Approvals,0,0,auth_obj_id
STD,Standard,0,0,auth_type
MSG186,Error,0,0,messages_id
MSG051,Error,0,0,messages_id
MSG180,Error,0,0,messages_id
MSG006,Error,0,0,messages_id
JMSG028,Error,0,0,messages_id
AUTH_0007,User Settings,0,0,auth_obj_id
MSG156,Success,0,0,messages_id
JMSG047,Error,0,0,messages_id
MSG131,Success,0,0,messages_id
MSG014,Error,0,0,messages_id
MSG074,Error,0,0,messages_id
JMSG046,Error,0,0,messages_id
MSG170,Error,0,0,messages_id
DOC03,Confirmation,0,0,document_type
Low,Low Priority,0,0,Priority
MSG012,Error,0,0,messages_id
RESP_PROD_CAT,Responsibility Product Categor,1,0,attribute_id
MSG192,Error,0,0,messages_id
MSG089,Information,0,0,messages_id
AUTH_0019,Email Notif,0,0,auth_obj_id
MSG094,Error,0,0,messages_id
AUTH_0023,Sc Completion,0,0,auth_obj_id
MSG072,Error,0,0,messages_id
MSG040,Error,0,0,messages_id
JMSG045,Error,0,0,messages_id
JMSG007,Error,0,0,messages_id
AUTH_GROUP_04,Shopper Assist,0,0,auth_obj_grp
MSG177,Success,0,0,messages_id
MSG164,Error,0,0,messages_id
MSG161,Error,0,0,messages_id
JMSG020,Error,0,0,messages_id
MSG023,Error,0,0,messages_id
RNODE,Root Node,1,0,org_node_types
MSG048,Error,0,0,messages_id
MSG157,Success,0,0,messages_id
MSG166,Error,0,0,messages_id
MSG168,Error,0,0,messages_id
JMSG038,Error,0,0,messages_id
MSG172,Error,0,0,messages_id
3,Ship To Address,1,0,split_type
MSG069,Error,0,0,messages_id
MSG183,Success,0,0,messages_id
MSG149,Error,0,0,messages_id
MSG030,Error,0,0,messages_id
JMSG012,Success,0,0,messages_id
AUTH_0020,Reports,0,0,auth_obj_id
MSG109,Error,0,0,messages_id
JMSG001,Error,0,0,messages_id
JMSG022,Error,0,0,messages_id
1,Supplier,1,0,split_type
MSG062,Error,0,0,messages_id
MSG052,Error,0,0,messages_id
AUTH_GROUP_02,Shopping Plus,0,0,auth_obj_grp
MSG126,Success,0,0,messages_id
SOBO,Shop On Behalf Of,1,0,attribute_id
CAT,Category Approver,0,0,approval_type
MSG017,Success,0,0,messages_id
PAGINATION_COUNT,Pagination Count,0,0,sys_attr_type
AUTH_0005,System Settings,0,0,auth_obj_id
JMSG025,Error,0,0,messages_id
MSG111,Error,0,0,messages_id
PGRP,Purchasing Group,1,0,org_node_types
MSG122,Error,0,0,messages_id
MSG171,Error,0,0,messages_id
JMSG018,Error,0,0,messages_id
DOC04,Favorite Cart,1,0,document_type
MSG101,Error,0,0,messages_id
CO_CODE,Company Code,1,0,attribute_id
MSG044,Error,0,0,messages_id
MSG169,Error,0,0,messages_id
MSG080,Information,0,0,messages_id
JMSG021,Error,0,0,messages_id
2,Currency,1,0,split_type
MSG085,Error,0,0,messages_id
MSG004,Error,0,0,messages_id
AUTH_0013,Home,0,0,auth_obj_id
MSG093,Error,0,0,messages_id
MSG110,Error,0,0,messages_id
OR,Internal Order,0,0,acct_assignment_category
JMSG044,Error,0,0,messages_id
MSG141,Information,0,0,messages_id
JMSG037,Error,0,0,messages_id
GL_ACC,General Ledger Account,1,0,attribute_id
MSG173,Error,0,0,messages_id
MSG136,Error,0,0,messages_id
MSG036,Error,0,0,messages_id
5,Call Off,1,0,split_type
